key,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Kern,Kings,Lake,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Tulare,Tuolumne,Ventura,Yolo,Yuba,Los Angeles Metropolitan Area,S.F. Bay Area,Inland Empire
7-96,182416,222612,0,126111,0,0,0,0,96406,0,114736,92083,0,87499,174329,0,377026,0,134444,104615,,235344,225000,0,205538,160909,0,120010,117950,0,114210,180000,270339,95312,177634,350000,226213,290932,238636,0,80000,149583,185714,114386,,0,0,0,204927,0,0,173301,260973,0
8-96,180825,218452,0,119499,0,0,0,0,92143,0,107500,91579,0,94166,174590,0,360605,0,130000,96249,,228030,192222,0,212797,164762,0,122335,115000,0,116339,175168,271428,111250,177581,347482,234684,275146,245981,0,87499,137646,185454,119820,,0,0,0,209859,0,0,172874,251066,0
9-96,179740,218251,0,120000,0,0,0,0,97499,0,110416,84558,0,87499,191264,0,354651,0,140000,87142,,205435,201471,0,215228,151249,0,123204,115000,0,109382,172893,272857,111250,167226,333898,220661,271318,245212,0,113333,123182,190798,109364,,0,0,0,195580,0,0,169586,248322,0
10-96,174454,220375,0,115428,0,0,0,0,90909,0,106521,91667,0,83750,167848,0,355172,0,135454,83333,,243181,180000,0,207656,165833,0,116999,115000,0,108084,172601,255102,95000,170397,339899,223804,275510,245918,0,80000,132666,185434,115000,,0,0,0,203545,0,0,167156,246513,0
11-96,175495,216186,0,119166,0,0,0,0,96911,0,110000,91304,0,114999,161823,0,363953,0,133749,89166,,221249,182000,0,211769,158181,0,121391,110230,0,110988,181800,270833,106111,154725,337912,215027,281801,234302,0,92500,135714,181316,117618,,0,0,0,198280,0,0,170945,251422,0
12-96,171940,211695,0,113124,0,0,0,0,92424,0,109411,85681,0,95000,167550,0,359183,0,133333,98571,,229167,178888,0,217044,166521,0,119396,110000,0,108571,171074,276171,,159654,330000,209758,281207,238414,0,100000,128666,174722,113939,,0,0,0,206274,0,0,163913,242082,0
1-97,175625,213461,0,127500,0,0,0,0,91053,0,114545,93928,0,92000,170223,0,358163,0,137999,86428,,251786,194999,0,205510,173333,0,115047,113000,0,109569,176470,262778,88076,178571,332203,234501,283654,259375,108125,95000,130000,187674,114594,,0,0,0,212804,0,0,163596,248804,0
2-97,167790,206818,0,120000,0,0,0,0,96199,0,105000,91053,0,95000,158193,0,320000,0,125000,95999,,232291,170000,0,202300,149000,0,117887,111090,0,108333,170187,271052,100455,163333,333606,241427,283333,241891,112499,95000,123333,186799,115102,,0,0,0,198378,0,0,166902,247709,0
3-97,177735,207143,0,110000,0,0,0,0,98599,0,109285,87068,0,93333,157992,0,376470,0,153333,93750,,223809,186250,0,216160,153928,0,114835,117000,0,113900,180370,281632,102857,185625,341579,233532,292024,254878,104000,75000,130624,186190,114902,,0,0,0,200893,0,0,167593,254108,0
4-97,181218,230023,0,110454,0,0,0,0,90517,0,116874,87419,0,117999,159912,0,384425,0,140000,93000,,268333,203947,0,218105,164815,0,114845,110000,0,116708,178838,280208,94166,172857,357657,266454,315517,252857,114571,126666,131499,199428,113676,,0,0,0,214393,0,0,172411,262660,0
5-97,185010,230387,0,109130,0,0,0,0,91154,0,127692,84545,0,123333,156131,0,403509,0,131999,87142,,223809,228947,0,226618,164762,0,120155,116000,0,116823,185512,284648,102727,175861,341579,251037,292024,254878,112222,85000,139564,198048,121667,,0,0,0,214568,0,0,175782,263428,0
6-97,188801,231725,0,115789,0,0,0,0,96428,0,115999,93695,0,89166,173522,0,384166,0,151428,85624,,252000,201923,0,231864,172580,0,122662,120000,0,114880,186214,285999,92083,177812,395917,225837,318801,265789,108518,110000,134605,196136,114590,,0,0,0,229167,0,0,182862,275816,0
7-97,190625,240294,0,122692,0,0,0,0,103000,0,124500,95000,0,94166,176878,0,380898,0,134444,98749,,237500,199230,0,222762,175516,0,125145,122500,0,112571,192201,295672,92500,195599,398514,279730,326587,278773,108461,86666,138860,204611,117026,,0,0,0,222891,0,0,178310,281022,0
8-97,191856,234529,0,120556,0,0,0,0,100317,0,116110,96666,0,89374,181888,0,378915,0,136249,99090,,277083,211666,0,229421,171785,0,126744,117000,0,109705,193243,315942,107727,185000,395412,269471,329303,268292,114117,82500,137646,192553,125531,,0,0,0,228859,0,0,177827,279090,0
